tick,day,S,E,I_asymp,I_symp,R,D,belief_mean,belief_max,n_panic,official_signal,authority_perceived,n_power_fail,n_water_fail,total_outflow,expected_incidents,n_events
106,26.5,318853.8700392445,363.01401318139494,171.28368842942146,229.43066790630166,376.7114226428979,5.6901685955050025,0.14816828028585127,0.9999993899086013,5,0.0,0.0004192527199637891,5,5,469.0015920276126,0.0,0
107,26.75,318828.39494897495,370.3384027918955,174.1412026215786,234.08299211328324,387.1884058543245,5.854047644009504,0.1512835875278083,0.999999527179166,5,0.0,0.0004304754150161318,5,5,458.1328321419841,0.0,0
108,27.0,318802.4902934827,377.72613814447766,177.1098010985324,238.78347544871292,397.869042044312,6.021249781233277,0.1543392601015786,0.9999996335638536,9,0.0,0.0004420402063050095,5,5,447.5143295614405,0.0,0
109,27.25,318776.196947618,385.1331771020193,180.18273290767303,243.53872926507742,408.75660370071023,6.191809406553787,0.15734633446428709,0.9999997160119866,9,0.0,0.00045394322639029453,5,5,437.2531207597783,0.0,0
110,27.5,318749.5490936134,392.52437225151124,183.35164775316036,248.35462247368582,419.8544982665261,6.3657656417431285,0.16031426050944347,0.9999997799092896,9,0.0,0.0004661773603019304,5,5,430.0922693858603,0.0,0
111,27.75,318722.57317383355,399.8740734187826,186.6071835306323,253.23618810968412,431.1662193067217,6.5431618006529035,0.1632512208710649,0.9999998294296994,9,0.0,0.00047873225628154215,5,5,426.80438793022154,0.0,0
112,28.0,318695.28660871915,407.1669348622271,189.93953152919354,258.18757729913557,442.6953027981411,6.72404479215982,0.1661643800117237,0.9999998678080171,9,0.0,0.0004915943939861157,5,5,426.8891176915531,0.0,0
113,28.25,318667.6966505381,414.3985463001494,193.33899152862688,263.21205726028455,454.44528988259935,6.908464490230632,0.1690600903709808,0.9999998975512132,9,0.0,0.0005047472244240898,5,5,429.88400113504497,0.0,0
114,28.5,318639.79936747364,421.5759020496225,196.79650888572127,268.3120510084929,466.4196974799754,7.096473102559408,0.17194406094520254,0.9999999206021902,9,0.0,0.0005181713931218559,5,5,435.34863521700447,0.0,0
115,28.75,318611.5827370965,428.71373732424286,200.30418712340582,273.48921592461863,478.6219979636402,7.2881245675654736,0.1760670442645829,0.9999999384666974,9,0.0,0.0005318450527320084,6,6,507.44938555743715,0.0,0
116,29.0,318583.48988529306,435.3709022615507,203.85557156788528,278.7445579615663,491.055608908479,7.483474007511629,0.18359696817868926,0.9999999523116905,9,0.0,0.0005457442675768776,9,9,741.8338795708382,0.0,0
117,29.25,318556.0412284096,441.05101403184153,207.42272636240165,284.078563044816,503.7238908881036,7.682577263198461,0.1903533485244192,0.9999999630415601,9,0.0,0.0005598435082571766,9,9,863.6202615447294,0.0,0
118,29.5,318527.70546006644,447.3342316733962,210.95539078163642,289.4896045561099,516.6298223998493,7.885490522516187,0.1965037045901676,0.9999999713572091,9,0.0,0.0005741162297023308,9,9,939.0694094832513,0.0,0
